Level,Hp,Def,Speed,BloomRange,BloomSpeed,FlowerRate,RareFlowerRate,Dodge,StunRecovery,HpRecovery,FlowerDropSpeed,FlowerDropAmount,
1,0.1,0.2,0.02,0.02,0.07,0.12,0.11,0.11,0.11,0.11,0.11,0.11,
2,0.15,0.3,0.03,0.03,0.105,0.18,0.165,0.165,0.165,0.165,0.165,0.165,
3,0.2,0.4,0.04,0.04,0.14,0.24,0.22,0.22,0.22,0.22,0.22,0.22,
4,0.25,0.5,0.05,0.05,0.175,0.3,0.275,0.275,0.275,0.275,0.275,0.275,
5,0.3,0.6,0.06,0.06,0.21,0.36,0.33,0.33,0.33,0.33,0.33,0.33,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
