Level,Hp,Def,Speed,BloomRange,BloomSpeed,FlowerRate,RareFlowerRate,Dodge,StunRecovery,HpRecovery,FlowerDropSpeed,FlowerDropAmount,
1,0.15,0.25,0.04,0.05,0.09,0.13,0.12,0.12,0.12,0.12,0.12,0.12,
2,0.225,0.375,0.06,0.075,0.135,0.195,0.18,0.18,0.18,0.18,0.18,0.18,
3,0.3,0.5,0.08,0.1,0.18,0.26,0.24,0.24,0.24,0.24,0.24,0.24,
4,0.375,0.625,0.1,0.125,0.225,0.325,0.3,0.3,0.3,0.3,0.3,0.3,
5,0.45,0.75,0.12,0.15,0.27,0.39,0.36,0.36,0.36,0.36,0.36,0.36,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
