Id,Star1Condition,Star2Condition,Star3Condition
1001,31,42,52
1002,31,42,52
1003,31,42,52
1004,31,42,52
1005,31,42,52
1006,31,42,52
1007,31,42,52
1008,31,42,52
1009,31,42,52
1011,31,42,52
1012,31,42,52
1013,31,42,52
1014,31,42,52
1015,31,42,52
1016,31,42,52
1017,31,42,52
1018,31,42,52
1019,31,42,52
1021,31,42,52
1022,31,42,52
1023,31,42,52
1024,31,42,52
1025,31,42,52
1026,31,42,52
1027,31,42,52
1028,31,42,52
1029,31,42,52
1031,31,42,52
1032,31,42,52
1033,31,42,52
1034,31,42,52
1035,31,42,52
1036,31,42,52
1037,31,42,52
1038,31,42,52
1039,31,42,52
1041,34,46,57
1042,34,46,57
1043,34,46,57
1044,34,46,57
1045,34,46,57
1046,34,46,57
1047,34,46,57
1048,34,46,57
1049,34,46,57
1051,34,46,57
1052,34,46,57
1053,34,46,57
1054,34,46,57
1055,34,46,57
1056,34,46,57
1057,34,46,57
1058,34,46,57
1059,34,46,57
1061,34,46,57
1062,34,46,57
1063,34,46,57
1064,34,46,57
1065,34,46,57
1066,34,46,57
1067,34,46,57
1068,34,46,57
1069,34,46,57
1071,34,46,57
1072,34,46,57
1073,34,46,57
1074,34,46,57
1075,34,46,57
1076,34,46,57
1077,34,46,57
1078,34,46,57
1079,34,46,57
1081,34,46,57
1082,34,46,57
1083,34,46,57
1084,34,46,57
1085,34,46,57
1086,34,46,57
1087,34,46,57
1088,34,46,57
1089,34,46,57
1091,34,46,57
1092,34,46,57
1093,34,46,57
1094,34,46,57
1095,34,46,57
1096,34,46,57
1097,34,46,57
1098,34,46,57
1099,34,46,57
1101,34,46,57
1102,34,46,57
1103,34,46,57
1104,34,46,57
1105,34,46,57
1106,34,46,57
1107,34,46,57
1108,34,46,57
1109,34,46,57
1111,34,46,57
1112,34,46,57
1113,34,46,57
1114,34,46,57
1115,34,46,57
1116,34,46,57
1117,34,46,57
1118,34,46,57
1119,34,46,57
1121,34,46,57
1122,34,46,57
