Id,Star1Y,Star2R,Star3Y,Star3R
1001,14.7,40,29.4,60
1002,14.7,40,29.4,60
1003,14.7,40,29.4,60
1004,14.7,40,29.4,60
1005,14.7,40,29.4,60
1006,15.44,40,30.87,60
1007,15.44,40,30.87,60
1008,15.44,40,30.87,60
1009,15.44,40,30.87,60
1010,32.41,40,64.83,60
1011,32.41,40,64.83,60
1012,34.03,40,68.07,60
1013,34.03,40,68.07,60
1014,34.03,40,68.07,60
1015,35.73,40,71.47,60
1016,35.73,40,71.47,60
1017,35.73,40,71.47,60
1018,37.52,40,75.05,60
1019,59.1,40,118.2,60
1020,59.1,40,118.2,60
1021,62.05,40,124.11,60
1022,62.05,40,124.11,60
1023,65.15,40,130.31,60
1024,65.15,40,130.31,60
1025,65.15,40,130.31,60
1026,68.42,40,136.83,60
1027,68.42,40,136.83,60
1028,100.57,40,201.14,60
1029,105.6,40,211.2,60
1030,105.6,40,211.2,60
1031,110.88,40,221.76,60
1032,110.88,40,221.76,60
1033,116.42,40,232.84,60
1034,116.42,40,232.84,60
1035,122.24,40,244.48,60
1036,122.24,40,244.48,60
1037,168.46,40,336.93,60
1038,176.89,40,353.77,60
1039,176.89,40,353.77,60
1040,185.72,40,371.45,60
1041,195.01,40,390.02,60
1042,195.01,40,390.02,60
1043,204.76,40,409.52,60
1044,204.76,40,409.52,60
1045,215.01,40,430.02,60
1046,285.0,56,570.0,84
1047,297.5,56,595.0,84
1048,312.5,56,625.0,84
1049,312.5,56,625.0,84
1050,330.0,56,660.0,84
1051,345.0,56,690.0,84
1052,345.0,56,690.0,84
1053,362.5,56,725.0,84
1054,380.0,56,760.0,84
1055,420.0,56,840.0,84
1056,515.0,56,1.03A,84
1057,540.0,56,1.08A,84
1058,540.0,56,1.08A,84
1059,567.5,56,1.14A,84
1060,595.0,56,1.19A,84
1061,595.0,56,1.19A,84
1062,625.0,56,1.25A,84
1063,657.5,56,1.31A,84
1064,760.0,56,1.52A,84
1065,870.0,56,1.74A,84
1066,912.5,56,1.82A,84
1067,957.5,56,1.92A,84
1068,1.01A,56,2.02A,84
1069,1.06A,56,2.12A,84
1070,1.06A,56,2.12A,84
1071,1.11A,56,2.22A,84
1072,1.17A,56,2.33A,84
1073,1.35A,56,2.69A,84
1074,1.59A,56,3.19A,84
